Nombre Producto,Marca,Cantidades Vendidas,Precio
AZUCAR RIOPAILA BLANCA NATURAL X 1KG,RIOPAILA,401544,2780.0738362760835
ARROZ BLANCO DIANA X1.000G,DIANA,257626,3171.5635662586874
ARROZ BLANCO DIANA X500G,DIANA,254700,1545.2307959239913
AZUCAR RIOPAILA MORENA X1KG,RIOPAILA,153944,2843.8249619482494
ARROZ DIANA VITAMOR X3000G,DIANA,53812,9396.46288037848
HUEVOS TIPO AA CAJA X 12un,DEL CANASTO,41781,4163.800905718919
ARROZ DIANA VITAMOR X5000G,DIANA,37477,14934.314884660382
ALCOHOL MK ANTISEPTICO X700ML,MK,36908,4912.753725258573
HUEVOS ORO A X 30 AMARRADO,HUEVOS ORO,33366,8592.735411877049
LECHE ALQUERIA DESLACTOSADA X1100ML,ALQUERIA,21144,3338.3679358445224
Total Cantidades vendidas[,1292302,] y total precio[,55679.128904144934,]
